# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 47536 b,1,1,1,Radial Velocity,2002,La Silla Observatory,0,712.13000000,1.930000,,,2330.00000,7.32000,Msini,0.200000,,,0,K1 III,4380.00,23.47,2.10,,,122.5360000,5.2500000,2.3830000,4.8800400
HD 47366 c,1,1,2,Radial Velocity,2016,Okayama Astrophysical Observatory,0,682.85000000,1.970000,,,597.52040,1.88000,Msini,0.100000,,,0,,4914.00,6.20,2.19,-0.070,3.10,84.3552000,6.1115100,4.0550000,5.8386900
HD 47366 b,1,1,2,Radial Velocity,2016,Okayama Astrophysical Observatory,0,359.15000000,1.280000,,,731.00900,2.30000,Msini,0.060000,,,0,,4914.00,6.20,2.19,-0.070,3.10,84.3552000,6.1115100,4.0550000,5.8386900
HD 4732 c,1,2,2,Radial Velocity,2012,Multiple Observatories,0,2732.00000000,4.600000,,,753.23000,2.37000,Msini,0.230000,,,0,K0 IV,4959.00,5.40,1.74,0.010,3.16,54.7841000,5.9000000,3.6910000,5.6509000
HD 4732 b,1,2,2,Radial Velocity,2012,Multiple Observatories,0,360.20000000,1.190000,,,753.23000,2.37000,Msini,0.130000,,,0,K0 IV,4959.00,5.40,1.74,0.010,3.16,54.7841000,5.9000000,3.6910000,5.6509000
HD 47186 c,1,1,2,Radial Velocity,2008,La Silla Observatory,0,1353.60000000,2.395000,,,111.42000,0.35061,Msini,0.249000,,,0,,,,,,,37.4574000,7.6300000,6.0050000,7.4489700
HD 47186 b,1,1,2,Radial Velocity,2008,La Silla Observatory,0,4.08450000,0.050000,,,22.24810,0.07000,Msini,0.040000,,,0,,5657.00,1.08,0.96,0.240,4.36,37.4574000,7.6300000,6.0050000,7.4489700
HD 46375 b,1,2,1,Radial Velocity,2000,W. M. Keck Observatory,0,3.02357300,0.039800,,,71.80000,0.22600,Msini,0.063000,,,0,,5285.00,,0.92,0.240,4.53,29.5529000,7.9100000,6.0000000,7.6953300
HD 45652 b,1,1,1,Radial Velocity,2008,Haute-Provence Observatory,0,44.07300000,0.237000,,,137.62039,0.43300,Msini,0.607000,,,0,G8/K0,5294.00,0.94,0.92,0.260,,34.8541000,8.1000000,6.2630000,7.9118000
HD 45364 c,1,1,2,Radial Velocity,2008,La Silla Observatory,0,342.85000000,0.897200,,,209.09150,0.65790,Msini,0.097400,,,0,K0 V,5434.00,,0.82,-0.170,4.38,34.3540000,8.0800000,6.3160000,7.8801600
HD 45364 b,1,1,2,Radial Velocity,2008,La Silla Observatory,0,226.93000000,0.681300,,,59.49530,0.18720,Msini,0.168400,,,0,K0 V,5434.00,,0.82,-0.170,4.38,34.3540000,8.0800000,6.3160000,7.8801600
HD 45350 b,1,1,1,Radial Velocity,2004,W. M. Keck Observatory,0,963.60000000,1.920000,,,568.89000,1.79000,Msini,0.778000,,,0,,5566.00,1.26,0.98,0.230,4.23,46.8733000,7.8900000,6.2240000,7.7000000
HD 45184 c,1,1,2,Radial Velocity,2019,La Silla Observatory,0,13.13540000,0.110000,,,8.81000,0.02770,Msini,0.070000,,,0,G1.5 V,5869.00,,1.03,0.040,4.47,21.9532000,6.3830000,4.8710000,6.2103700
HD 45184 b,1,1,2,Radial Velocity,2019,La Silla Observatory,0,5.88540000,0.064400,,,12.19000,0.03840,Msini,0.070000,,,0,G1.5 V,5869.00,,1.03,0.040,4.47,21.9532000,6.3830000,4.8710000,6.2103700
HD 44219 b,1,1,1,Radial Velocity,2010,La Silla Observatory,0,472.30000000,1.190000,,,184.33000,0.58000,Msini,0.610000,,,0,G2 V,5752.00,1.32,1.00,0.030,4.21,52.9051000,7.6900000,6.1150000,7.5297300
HD 43691 b,1,3,1,Radial Velocity,2007,Haute-Provence Observatory,0,36.99870000,0.238000,,,810.46650,2.55000,Msini,0.079600,,,0,G0,6093.00,1.60,1.32,0.330,,85.6009000,8.0300000,6.7000000,7.8972000
HD 43197 b,1,1,1,Radial Velocity,2010,La Silla Observatory,0,327.80000000,0.920000,,,190.69000,0.60000,Msini,0.830000,,,0,G8 V,5508.00,1.00,0.96,0.400,4.31,62.4112000,8.9800000,7.2030000,8.7715800
HD 4313 b,1,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,356.21000000,1.157000,,,612.45841,1.92700,Msini,0.147000,,,0,,4943.00,5.14,1.63,,3.24,136.3080000,7.8300000,5.5950000,7.5739900
HD 4308 b,1,1,1,Radial Velocity,2005,La Silla Observatory,0,15.56000000,0.120000,,,15.89150,0.05000,Msini,0.000000,,,0,,5686.00,1.02,0.93,-0.350,4.39,22.0158000,6.5500000,4.9450000,6.3757800
HD 42618 b,1,1,1,Radial Velocity,2016,Multiple Observatories,0,149.61000000,0.554000,,,14.40000,0.04531,Msini,0.190000,3.16,337,0,G4 V,5727.00,1.00,1.01,-0.090,4.44,24.3358000,6.8700000,5.3010000,6.6830300
HD 4208 b,1,1,1,Radial Velocity,2001,W. M. Keck Observatory,0,832.97000000,1.662000,,,257.44230,0.81000,Msini,0.042000,,,0,,5717.00,0.85,0.88,-0.280,4.50,34.1937000,7.7830000,6.1630000,7.6106600
HD 4203 c,1,1,2,Radial Velocity,2014,W. M. Keck Observatory,0,6700.00000000,6.950000,,,689.66000,2.17000,Msini,0.240000,,,0,,5582.00,1.50,0.99,0.340,4.08,81.3795000,8.7000000,7.0470000,8.5154500
HD 4203 b,1,1,2,Radial Velocity,2001,W. M. Keck Observatory,0,431.88000000,1.170000,,,708.76090,2.23000,Msini,0.520000,,,0,,5596.00,1.42,1.25,0.400,4.23,81.3795000,8.7000000,7.0470000,8.5154500
HD 42012 b,1,1,1,Radial Velocity,2017,Haute-Provence Observatory,0,857.50000000,1.670000,,,508.52800,1.60000,Msini,0.200000,,,0,K0,5405.00,0.82,0.83,-0.090,4.45,36.7984000,8.4400000,6.5840000,8.2294900
HD 4113 b,1,3,1,Radial Velocity,2007,La Silla Observatory,0,526.62000000,1.280000,,,495.79000,1.56000,Msini,0.903000,,,0,G5,5688.00,,0.99,0.200,4.40,41.8727000,7.8800000,6.2890000,7.7105100
HD 41004 B b,1,2,2,Radial Velocity,2003,La Silla Observatory,0,1.32830000,,,,5838.29000,18.37000,Msini,0.081000,,,0,M2 V,,,0.40,,,41.5504000,8.6078000,,8.3762500
HD 41004 A b,1,2,2,Radial Velocity,2004,La Silla Observatory,0,963.00000000,,,,807.25000,2.54000,Msini,0.740000,,,0,,,,,,,36.6911700,8.6500000,6.4280000,
HD 40979 b,1,3,1,Radial Velocity,2002,Multiple Observatories,0,264.14999000,0.850000,,,1484.26610,4.67000,Msini,0.250000,,,0,,6165.00,1.21,1.45,0.200,4.43,34.0883000,6.7551200,5.4520000,6.5996300
HD 40956 b,1,1,1,Radial Velocity,2017,Multiple Observatories,0,578.60000000,1.400000,,,858.14100,2.70000,Msini,0.240000,,,0,,4869.00,8.56,2.00,0.140,3.02,116.5930000,6.4279400,4.1430000,6.1404900
HD 40307 g,1,1,5,Radial Velocity,2013,La Silla Observatory,1,197.80000000,0.600000,,,7.10000,0.02230,Msini,0.290000,,,0,K2.5 V,4956.00,,0.77,-0.310,4.47,12.9363000,7.1700000,4.7930000,6.8436700
HD 40307 f,1,1,5,Radial Velocity,2013,La Silla Observatory,0,51.76000000,0.247000,,,5.20000,0.01640,Msini,0.020000,,,0,K2.5 V,4956.00,,0.77,-0.310,4.47,12.9363000,7.1700000,4.7930000,6.8436700
HD 40307 d,1,1,5,Radial Velocity,2009,La Silla Observatory,0,20.43200000,0.132100,,,9.50000,0.02990,Msini,0.070000,,,0,K2.5 V,4956.00,,0.77,-0.310,4.47,12.9363000,7.1700000,4.7930000,6.8436700
HD 40307 c,1,1,5,Radial Velocity,2009,La Silla Observatory,0,9.61840000,0.079900,,,6.60000,0.02080,Msini,0.060000,,,0,K2.5 V,4956.00,,0.77,-0.310,4.47,12.9363000,7.1700000,4.7930000,6.8436700
HD 40307 b,1,1,5,Radial Velocity,2009,La Silla Observatory,0,4.31230000,0.046800,,,4.00000,0.01260,Msini,0.200000,,,0,K2.5 V,4956.00,,0.77,-0.310,4.47,12.9363000,7.1700000,4.7930000,6.8436700
HD 39855 b,1,1,1,Radial Velocity,2019,Las Campanas Observatory,0,3.24980000,0.041000,,,8.50000,0.02674,Msini,0.140000,,,0,G8 V,5576.00,,0.87,,,23.2599000,7.5100000,5.7560000,7.3211300
HD 39194 d,1,1,3,Radial Velocity,2021,La Silla Observatory,0,33.91000000,0.185000,,,4.00000,0.01259,Msini,0.333000,,,0,K0 V,5205.00,,0.67,-0.610,4.53,26.4131000,8.0900000,6.0940000,7.8520100
HD 39194 c,1,1,3,Radial Velocity,2021,La Silla Observatory,0,14.03000000,0.103000,,,6.30000,0.01982,Msini,0.154000,,,0,K0 V,5205.00,,0.67,-0.610,4.53,26.4131000,8.0900000,6.0940000,7.8520100
HD 39194 b,1,1,3,Radial Velocity,2021,La Silla Observatory,0,5.63680000,0.056000,,,4.00000,0.01259,Msini,0.207000,,,0,K0 V,5205.00,,0.67,-0.610,4.53,26.4131000,8.0900000,6.0940000,7.8520100
HD 39091 b,1,1,2,Radial Velocity,2001,Anglo-Australian Telescope,0,2093.07000000,3.100000,,,3184.65660,10.02000,Msini,0.637000,,,0,G0 V,6037.00,1.10,1.09,0.080,4.42,18.2702000,5.6500000,4.2410000,5.5128000
HD 38801 b,1,1,1,Radial Velocity,2009,Subaru Telescope,0,685.25000000,1.623000,,,3082.31534,9.69800,Msini,0.017000,,,0,,5338.00,2.03,1.21,0.250,3.88,91.4349000,8.2600000,6.2790000,8.0339700
HD 38529 c,1,2,2,Radial Velocity,2000,Multiple Observatories,0,2136.10000000,3.640000,,,4128.61170,12.99000,Msini,0.340700,,,0,,5541.00,2.56,1.41,,3.77,42.3538000,5.9284800,4.2110000,5.7479600
HD 38529 b,1,2,2,Radial Velocity,2000,Multiple Observatories,0,14.30944000,0.129400,,,253.31051,0.79700,Msini,0.280000,,,0,,5541.00,2.56,1.41,,3.77,42.3538000,5.9284800,4.2110000,5.7479600
HD 38283 b,1,1,1,Radial Velocity,2010,Anglo-Australian Telescope,0,363.20001000,1.020000,,,127.13200,0.40000,Msini,0.410000,,,0,,5981.00,1.49,1.37,-0.180,4.23,38.0615000,6.6900000,5.2670000,6.5439200
HD 3765 b,1,1,1,Radial Velocity,2021,Multiple Observatories,0,1211.00000000,2.108000,,,54.98431,0.17300,Msini,0.298000,,,0,,5049.80,0.83,0.85,0.172,4.53,17.9260000,7.3600000,5.1640000,7.0782700
HD 37605 c,1,1,2,Radial Velocity,2012,Multiple Observatories,0,2720.00000000,3.740000,,,1013.87770,3.19000,Msini,0.030000,,,0,K0,5329.00,0.91,0.94,0.270,,46.7864000,8.6700000,6.8150000,8.4619200
HD 37605 b,1,1,2,Radial Velocity,2004,McDonald Observatory,0,55.01292000,0.277000,,,854.96270,2.69000,Msini,0.674500,,,0,K0,5329.00,0.91,0.94,0.270,,46.7864000,8.6700000,6.8150000,8.4619200
HD 37124 d,1,1,3,Radial Velocity,2005,W. M. Keck Observatory,0,1862.00000000,2.807000,,,221.20968,0.69600,Msini,0.160000,,,0,G4 V,,,0.85,-0.440,,31.6634000,7.6800000,5.9520000,7.4723800
HD 37124 c,1,1,3,Radial Velocity,2002,W. M. Keck Observatory,0,885.50000000,1.710000,,,207.22516,0.65200,Msini,0.125000,,,0,G4 V,,,0.85,-0.440,,31.6634000,7.6800000,5.9520000,7.4723800
HD 37124 b,1,1,3,Radial Velocity,2002,W. M. Keck Observatory,0,154.37800000,0.533640,,,214.53525,0.67500,Msini,0.054000,,,0,G4 V,,,0.85,-0.440,,31.6634000,7.6800000,5.9520000,7.4723800
HD 3651 b,1,1,1,Radial Velocity,2003,Multiple Observatories,0,62.25000000,0.295000,,,72.46524,0.22800,Msini,0.645000,,,0,,5221.00,,0.80,,4.45,11.1336000,5.8843700,3.9990000,5.6525500
HD 360 b,1,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,0,273.10000000,0.980000,,,238.37131,0.75000,Msini,0.139000,,,0,G8 III,4770.00,10.86,1.69,-0.060,2.59,111.5420000,5.9860000,3.7480000,5.7089500
HD 35759 b,1,1,1,Radial Velocity,2016,Haute-Provence Observatory,0,82.46700000,0.389000,,,1195.04080,3.76000,Msini,0.389000,,,0,G0,6060.00,,1.15,0.040,4.24,71.2423000,7.7400000,6.3190000,7.5960600
HD 34445 g,1,1,6,Radial Velocity,2017,Multiple Observatories,0,5700.00000000,6.360000,,,120.60000,0.38000,Msini,0.032000,,,0,G0 V,5836.00,1.38,1.07,0.140,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 34445 f,1,1,6,Radial Velocity,2017,Multiple Observatories,0,676.80000000,1.543000,,,37.90000,0.11900,Msini,0.031000,,,0,G0 V,5836.00,1.38,1.07,0.140,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 34445 e,1,1,6,Radial Velocity,2017,Multiple Observatories,0,49.17500000,0.268700,,,16.80000,0.05290,Msini,0.090000,,,0,G0 V,5836.00,1.38,1.07,0.140,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 34445 d,1,1,6,Radial Velocity,2017,Multiple Observatories,0,117.87000000,0.481700,,,30.70000,0.09700,Msini,0.027000,,,0,G0 V,5836.00,1.38,1.07,0.140,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 34445 c,1,1,6,Radial Velocity,2017,Multiple Observatories,0,214.67000000,0.718100,,,53.50000,0.16800,Msini,0.036000,,,0,G0 V,5836.00,1.38,1.07,0.140,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 34445 b,1,1,6,Radial Velocity,2009,W. M. Keck Observatory,0,1049.00000000,2.070000,,,260.62060,0.82000,Msini,0.270000,,,0,,5879.00,1.38,1.14,0.180,4.21,46.0907000,7.3100000,5.7900000,7.1494700
HD 33844 c,1,1,2,Radial Velocity,2015,Anglo-Australian Telescope,0,916.00000000,2.240000,,,556.20250,1.75000,Msini,0.130000,,,0,K0 III,4861.00,5.29,1.78,0.270,3.24,105.7790000,7.2900000,4.9450000,7.0115300
HD 33844 b,1,1,2,Radial Velocity,2015,Anglo-Australian Telescope,0,551.40002000,1.600000,,,638.83830,2.01000,Msini,0.150000,,,0,,4861.00,5.39,1.84,0.270,3.24,105.7790000,7.2900000,4.9450000,7.0115300
HD 33564 b,1,1,1,Radial Velocity,2005,Haute-Provence Observatory,0,388.00000000,1.100000,,,2892.10000,9.10000,Msini,0.340000,,,0,F6 V,6250.00,,1.25,-0.120,4.00,20.9531000,5.1011100,3.9110000,4.9715500
HD 33283 b,1,2,1,Radial Velocity,2006,W. M. Keck Observatory,0,18.19910000,0.150800,,,104.56607,0.32900,Msini,0.399000,,,0,G3/G5 V,5935.00,1.97,1.38,0.350,,89.8623000,8.0500000,6.6460000,7.8993300
HD 33142 c,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,834.00000000,,,,1897.44510,5.97000,Msini,0.050000,,,0,,,,1.62,,,121.3750000,7.9600000,5.7920000,7.7127400
HD 33142 b,1,1,2,Radial Velocity,2011,W. M. Keck Observatory,0,326.00000000,1.070000,,,440.19455,1.38500,Msini,0.066000,,,0,,4978.00,4.45,1.41,,3.40,121.3750000,7.9600000,5.7920000,7.7127400
HD 331093 b,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,621.62000000,1.440000,,,476.74261,1.50000,Msini,0.590000,,,0,K0,5544.00,,1.03,0.170,4.20,50.1928000,8.3800000,6.6490000,8.1910500
HD 330075 b,1,1,1,Radial Velocity,2004,La Silla Observatory,0,3.38773000,0.040000,,,152.55840,0.48000,Msini,0.000000,,,0,,5000.00,0.84,0.47,0.050,4.26,45.2989000,9.3600000,7.1710000,9.0915900
HD 32963 b,1,1,1,Radial Velocity,2015,W. M. Keck Observatory,0,2372.00000000,3.410000,,,222.48100,0.70000,Msini,0.070000,,,0,,5727.00,,0.94,0.110,4.41,38.0786000,7.6000000,6.0240000,7.4275600
HD 32518 b,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,157.54000000,0.590000,,,966.16000,3.04000,Msini,0.010000,,,0,K1 III,4580.00,10.22,1.13,-0.150,2.10,122.1150000,6.4300500,3.9110000,6.1193300
HD 3167 d,1,1,3,Radial Velocity,2017,Multiple Observatories,0,8.50900000,0.077570,,,6.90000,0.02171,Msini,0.360000,88.90,,0,K0 V,5261.00,0.86,0.86,0.040,4.47,47.2899000,8.9700000,7.0660000,8.7622100
HD 31527 d,1,1,3,Radial Velocity,2019,La Silla Observatory,0,271.67370000,0.809800,,,11.82000,0.03720,Msini,0.240000,,,0,G2 V,5898.00,,0.96,-0.170,4.45,38.4473000,7.4900000,6.0490000,7.3322200
HD 31527 c,1,1,3,Radial Velocity,2019,La Silla Observatory,0,51.20530000,0.266300,,,14.16000,0.04450,Msini,0.040000,,,0,G2 V,5898.00,,0.96,-0.170,4.45,38.4473000,7.4900000,6.0490000,7.3322200
HD 31527 b,1,1,3,Radial Velocity,2019,La Silla Observatory,0,16.55350000,0.125400,,,10.47000,0.03290,Msini,0.100000,,,0,G2 V,5898.00,,0.96,-0.170,4.45,38.4473000,7.4900000,6.0490000,7.3322200
HD 31253 b,1,1,1,Radial Velocity,2010,W. M. Keck Observatory,0,466.00000000,1.260000,,,197.05460,0.62000,Msini,0.300000,,,0,,6130.00,1.75,1.70,0.170,4.18,58.1438000,7.1326600,5.7920000,6.9847900
HD 30856 b,1,2,1,Radial Velocity,2011,W. M. Keck Observatory,0,847.00000000,1.850000,,,491.68301,1.54700,Msini,0.061000,,,0,,4895.00,4.40,1.17,,3.20,131.1990000,7.9100000,5.6570000,7.6581300
HD 30669 b,1,1,1,Radial Velocity,2014,La Silla Observatory,0,1684.00000000,2.690000,,,149.37000,0.47000,Msini,0.180000,,,0,G9 V,5400.00,0.91,0.92,0.130,4.37,58.0844000,9.1200000,7.3290000,8.9066700
HD 30562 b,1,1,1,Radial Velocity,2009,Lick Observatory,0,1157.00000000,2.340000,,,387.75260,1.22000,Msini,0.760000,,,0,,5882.00,1.61,1.12,0.200,4.07,26.1597000,5.7746600,4.3100000,5.6182800
HD 30177 c,1,1,2,Radial Velocity,2016,Multiple Observatories,0,11613.00000000,9.890000,,,2415.50800,7.60000,Msini,0.220000,,,0,,5580.00,,0.99,0.330,4.41,55.5867000,8.4100000,6.7150000,8.2151100
HD 30177 b,1,1,2,Radial Velocity,2002,Anglo-Australian Telescope,0,2527.83000000,3.704000,,,2740.33026,8.62200,Msini,0.162000,,,0,,5607.00,1.02,1.05,0.390,4.42,55.5867000,8.4100000,6.7150000,8.2151100
HD 2952 b,1,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,0,311.60001000,1.230000,,,435.42710,1.37000,Msini,0.130000,,,0,,4844.00,10.76,1.97,0.000,2.67,110.1030000,5.9258000,3.6290000,5.6453200
HD 29399 b,1,1,1,Radial Velocity,2022,La Silla Observatory,0,892.70000000,1.913000,,,498.99060,1.57000,Msini,0.050000,,,0,K1 III,4845.00,4.50,1.17,0.140,3.25,44.1518000,5.7900000,3.7770000,5.5050300
HD 290327 b,1,1,1,Radial Velocity,2009,La Silla Observatory,0,2443.00000000,3.430000,,,772.32690,2.43000,Msini,0.080000,,,0,,5505.00,0.95,0.84,-0.140,4.41,56.4330000,8.9900000,7.2710000,8.8036400
HD 29021 b,1,1,1,Radial Velocity,2017,Haute-Provence Observatory,0,1362.30000000,2.280000,,,762.79200,2.40000,Msini,0.459000,,,0,G5,5560.00,0.85,0.85,-0.240,4.44,30.9939000,7.7600000,6.0820000,7.5856500
HD 28678 b,1,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,380.20000000,1.180000,,,490.09386,1.54200,Msini,0.149000,,,0,,4972.00,6.48,1.53,,3.06,189.9080000,8.3800000,5.7750000,8.0546900
HD 285968 b,1,1,1,Radial Velocity,2008,La Silla Observatory,0,8.78360000,0.066000,,,8.40000,0.02600,Msini,0.000000,,450,0,M2 V,,,0.50,-0.100,,9.4704500,9.9500000,5.6070000,8.9995500
HD 285507 b,1,1,1,Radial Velocity,2013,Fred Lawrence Whipple Observatory,0,6.08810000,0.060000,,,311.47340,0.98000,Msini,0.090000,,,0,,4503.00,0.69,0.82,0.130,4.67,45.0293000,10.4900000,7.6650000,10.0404000
HD 28254 b,1,2,1,Radial Velocity,2010,La Silla Observatory,0,1116.00000000,2.150000,,,368.67000,1.16000,Msini,0.810000,,,0,G1 IV/V,5664.00,1.48,1.06,0.060,4.12,55.2884000,7.6900000,6.0060000,7.4997700
HD 28185 b,1,1,1,Radial Velocity,2001,La Silla Observatory,0,379.00000000,1.020000,,,1875.19700,5.90000,Msini,0.050000,,,0,,5662.00,1.03,1.02,0.230,4.42,39.3809000,7.8000000,6.1850000,7.6268200
HD 27969 b,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,654.50000000,1.552000,,,1525.57635,4.80000,Msini,0.182000,0.76,261,0,G0 V,5966.00,1.27,1.16,0.180,4.12,67.9328000,7.6600000,6.2020000,7.5139000
HD 27894 d,1,1,3,Radial Velocity,2017,La Silla Observatory,0,5174.00000000,5.448000,,,1721.04945,5.41500,Msini,0.389000,,,0,K2 V,,,0.80,0.300,,43.8214000,9.3600000,7.0710000,9.0657300
HD 27894 c,1,1,3,Radial Velocity,2017,La Silla Observatory,0,36.07000000,0.198000,,,51.48846,0.16200,Msini,0.015000,,,0,K2 V,,,0.80,0.300,,43.8214000,9.3600000,7.0710000,9.0657300
HD 27894 b,1,1,3,Radial Velocity,2005,La Silla Observatory,0,18.02000000,0.125000,,,211.35695,0.66500,Msini,0.047000,,,0,K2 V,,,0.80,0.300,,43.8214000,9.3600000,7.0710000,9.0657300
HD 27631 b,1,1,1,Radial Velocity,2012,La Silla Observatory,0,2198.14000000,3.242000,,,474.83802,1.49400,Msini,0.141000,,,0,,5737.00,0.92,0.94,-0.120,4.46,50.2862000,8.2600000,6.6460000,8.0847800
HD 27442 b,1,2,1,Radial Velocity,2000,Anglo-Australian Telescope,0,428.10000000,1.271000,,,495.80000,1.56000,Msini,0.060000,,,0,,4846.00,,1.23,0.420,3.78,18.2704000,4.4400000,1.7450000,4.1453200
HD 26965 b,1,3,1,Radial Velocity,2018,Multiple Observatories,0,42.37800000,,,,8.47000,0.02665,Msini,0.040000,,,0,K0 V,5072.00,0.87,0.78,-0.420,4.45,5.0354500,4.4201800,2.4980000,4.1866500
HD 2638 b,1,3,1,Radial Velocity,2005,La Silla Observatory,0,3.44420000,0.040000,,,133.48860,0.42000,Msini,0.000000,,,0,,5186.00,0.94,0.77,0.130,4.38,54.9621000,9.4400000,7.3080000,9.1927610
HD 26161 b,1,1,1,Radial Velocity,2021,Multiple Observatories,0,32000.00000000,20.400000,,,4290.68349,13.50000,Msini,0.820000,,,0,,6057.62,1.46,1.13,-0.009,4.16,40.9128000,6.8933300,5.5240000,6.7427000
HD 25723 b,1,1,1,Radial Velocity,2020,Lick Observatory,0,457.01000000,1.490000,,,794.57102,2.50000,Msini,0.040000,,,0,K1 III,4766.00,13.76,2.12,-0.030,2.50,114.8160000,5.6007500,3.0440000,5.3194700
HD 25171 b,1,2,1,Radial Velocity,2010,La Silla Observatory,0,1802.29000000,2.971000,,,290.81445,0.91500,Msini,0.042000,,,0,,6125.00,1.23,1.08,-0.120,4.26,55.6146000,7.7700000,6.4890000,7.6380000
HD 25015 b,1,1,1,Radial Velocity,2019,La Silla Observatory,0,6019.32000000,6.190000,,,1423.87840,4.48000,Msini,0.390000,,,0,K1 V,5160.00,0.83,0.86,0.040,4.40,37.4330000,8.8700000,6.8060000,8.5987600
HD 24085 b,1,1,1,Radial Velocity,2019,Las Campanas Observatory,0,2.04550000,0.034000,,,11.80000,0.03713,Msini,0.220000,,,0,G0 V,6034.00,,1.22,,,54.9004000,7.5700000,6.1720000,7.4249600
HD 24064 b,1,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,535.59998000,1.290000,,,4096.82870,12.89000,Msini,0.350000,,,0,,4052.00,40.00,1.61,-0.490,1.44,300.2470000,6.7461600,3.1300000,6.1783900
HD 24040 c,1,1,2,Radial Velocity,2021,Multiple Observatories,0,515.40000000,1.300000,,,63.88351,0.20100,Msini,0.110000,,,0,,5776.49,1.39,1.10,0.197,4.20,46.6224000,7.5150000,5.9690000,7.3347600
HD 24040 b,1,1,2,Radial Velocity,2006,W. M. Keck Observatory,0,3668.00000000,4.920000,,,1226.82380,3.86000,Msini,0.040000,,,0,,5802.00,1.30,1.11,0.190,4.26,46.6224000,7.5150000,5.9690000,7.3347600
HD 240237 b,1,1,1,Radial Velocity,2011,McDonald Observatory,0,745.70001000,1.920000,,,5050.31870,15.89000,Msini,0.400000,,,0,,3926.00,71.23,8.76,-0.250,1.67,933.3770000,8.1900000,4.3190000,7.4931700
HD 240210 b,1,1,1,Radial Velocity,2009,McDonald Observatory,0,501.75000000,1.160000,,,1655.82000,5.21000,Msini,0.150000,,,0,K3 III,4297.00,,0.82,-0.180,2.31,372.4050000,8.2700010,4.3880000,7.6447600
HD 238914 b,1,1,1,Radial Velocity,2018,Multiple Observatories,0,4100.00000000,5.700000,,,1906.98000,6.00000,Msini,0.560000,,,0,,4769.00,12.73,1.47,-0.250,2.37,519.4520000,8.7700010,6.3250000,8.4970000
HD 238090 b,1,1,1,Radial Velocity,2020,Multiple Observatories,0,13.67100000,0.093200,,,6.89000,0.02168,Msini,0.300000,8.10,470,0,M0.0 V,3933.00,0.57,0.58,-0.030,4.70,15.2354000,9.7100000,6.0590000,9.0379110
